ds,Most Likely Case,Worst Case,Best Case
2023-01-06,94.30519155178257,90.31947131851356,97.99330597635921
2023-01-07,94.40041023068586,90.44423447359922,98.46489557327268
2023-01-08,94.41851114867526,90.55178607069914,98.2209612525319
2023-01-09,94.2652438449771,90.54340458574544,98.08227396359219
2023-01-10,94.34545425040254,90.32309631252441,98.65114010297968
2023-01-11,94.37243641857329,90.44420253955204,98.32892559726722
2023-01-12,94.37500500087576,90.33719818562511,98.38155407284538
2023-01-13,94.41066964279185,90.41132950554653,98.54163004183721
2023-01-14,94.49321978166803,90.43315488413148,98.17141514359334
2023-01-15,94.49487050184524,90.7531364091488,98.43487069930411
2023-01-16,94.32140404734096,90.41088992677577,98.55709255710939
2023-01-17,94.37779523877886,90.54526571652427,98.5091363507976
2023-01-18,94.37756294609483,90.7899375468827,98.48214629704371
2023-01-19,94.34983993509877,90.29393352098072,98.1726968831449
2023-01-20,94.35254229339924,90.30543116620814,98.28710725533497
2023-01-21,94.39994700245828,90.59148781717492,98.42859619399572
2023-01-22,94.36482845562765,90.84238125796354,98.42116555153297
2023-01-23,94.15358872041391,90.02200779264834,98.22053967018822
2023-01-24,94.17187003938761,90.27666412850631,97.99246210556286
2023-01-25,94.13389201290866,89.94862933997372,97.897050397503
2023-01-26,94.06950611043052,90.17614131645169,98.02264448541129
2023-01-27,94.03734907378303,90.04587669473541,98.03583174050763
2023-01-28,94.0524041576703,90.12136670710932,97.82601441304686
2023-01-29,93.9881213971073,89.93632296492781,97.74402948099856
2023-01-30,93.75153209180066,89.95538756282954,97.67668680685088
2023-01-31,93.74884638589447,89.79303563068721,98.15700478857418
2023-02-01,93.69477675304839,89.4107836410019,97.48388035958646
2023-02-02,93.61958037406546,89.77423629118424,97.17686320778401
2023-02-03,93.58220227608243,89.34589069643646,97.50544276162668
